Period, M_obs, tau_M, R_obs, tau_R
0.74,8.09,0.26,2.17,0.098
0.854,4.73,0.95,1.58,0.064
1.58,6.45,0.91,2.65,0.09
3.337,13.73,1.61,3.88,0.32
9.491,7.87,0.73,2.34,0.16
9.12,11.82,1.33,2.53,0.18
0.837,3.33,0.49,1.47,0.02
45.294,17.2,1.9,2.35,0.06
9.287,,20.3,2.21,0.048
3.696,8.7,2.2 ,1.91,0.16
10.854,16.1,3.5 ,3.07,0.25
77.612,,20.10,2.75,0.23
6.098,,3.08,0.868,0.08
19.58,,14.3,1.03,0.11
2.786,,10.4,1.635,0.04
6.239,9.6,4.2,2.71,0.05
13.367,2.78,3.7,0.32,0.02
21.302,3.35,4,0.75,0.03
39.792,1.87,9.08,1.94,0.06
4.778,3.94,2.1,1.88,0.1
9.674,14.61,2.3,2.71,0.14
42.896,7.93,4.6,2.04,0.11
5.715,,9.00,1.31,0.04
12.44,,4.00,0.54,0.03
18.164,,14.00,1.95,0.07
122.39,,36.00,1.61,0.05
267.29,,35.00,1.41,0.07
5.399,5.97,1.7,2.33,0.02
9.605,2.18,3.5,1,0.02
0.354,1.69,0.41,1.2,0.09
3.743,10.5,4.6,1.71,0.16
4.727,4.02,0.68,1.48,0.019
2.508,10.84,1.4,3.51,0.15
11.523,13,2.9,3.42,0.09
16.238,8.46,3.4,2.67,0.22
2.587,3.51,1.9,1.48,0.13
1.542,3.55,1.6,1.99,0.22
4.604,6.15,1.3,1.48,0.08
6.887,7.34,3.2,1.32,0.04
12.816,0.85,4,2.2,0.05
35.333,-4.36,4.1,1.61,0.05
6.03,,9.00,1.25,0.18
10.312,3.8,1.8,1.18,0.04
16.146,8.93,2,2.22,0.07
27.454,0.62,3.3,0.88,0.03
5.287,0.41,1.6,0.47,0.02
7.071,-1.58,2,0.58,0.02
15.965,14.11,4.7,3.37,0.09
6.165,0.15,2.8,0.82,0.11
13.571,10.44,3.2,2.5,0.32
23.98,-6.39,7,0.95,0.13
43.844,11.17,5.8,2.56,0.33
6.482,1.3,5.4,2.37,0.07
21.223,2.22,7.8,2.52,0.07
4.754,7.1,3.3,1.82,0.05
8.925,-4.6,6.2,2.19,0.06
16.092,16.13,3.5,2.41,0.2
25.517,8.25,5.9,0.84,0.07
2.426,4.71,1.7,1.43,0.03
4.623,1.53,2.3,0.85,0.03
0.669,0.06,1.2,1.07,0.02
68.958,2.69,6.2,1.19,0.03
3.213,24.47,3.81,4,0.21
2.64,25.4,2.1,4.1,0.16
10.42,15.6,10.6,4.32,0.41
4.888,25.74,2.86,4.73,0.157
9.756,,35.00,4.88,0.28
179.61,36.1,25.2,5.14,0.14
3.488,51.1,4.9,5.77,0.82
9.43,,95.00,6.1,0.2
4.235,18.75,2.23,6.33,0.58
6.212,69.92,9.53,6.39,0.22
54.32,35.00,23.00,6.56,0.62
10.304,1.9,  1.2  ,1.8,0.04
13.024,2.9,  2.3  ,2.87,0.06
22.684,7.3,  1.2  ,3.12,0.07
46.689,2,  0.9  ,2.49,0.06
  118.38  ,,25.00,3.33,0.07
3.505,  6.9  ,  3.4  ,2,0.1
29.334,  11.3  ,  1.4  ,3.9,0.2
13.84,4.45,0.3,1.486,0.035
16.239,8.08,0.53,3.679,0.054
13.485,  10.9  ,  6.7  ,3.47,0.07
27.403,  5.9  ,  2.1  ,3.72,0.08
81.066,  4.1  ,  1.2  ,3.49,0.14
10.954,  8.7  ,  2.5 ,3.78,0.38
13.782,3.83,1.39,1.61,0.16
23.089,1.01,0.38,1.61,0.16
34.545,  7.3  ,  6.8  ,2.15,0.1
66.063,  4.0  ,  0.9  ,2.68,0.17
